#ppt,"","","","","","","","","","","","","","","","","",""
"",eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
1995-01-01T00:00:00Z,224.580733468834,225.065270815354,231.440393987376,230.298315020136,236.907817572771,236.365904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-02-01T00:00:00Z,244.646733468834,245.131270815354,251.506393987376,250.364315020136,256.973817572771,256.431904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-03-01T00:00:00Z,129.076733468833,129.561270815354,135.936393987376,134.794315020136,141.403817572771,140.861904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-04-01T00:00:00Z,61.5127334688335,61.9972708153542,68.3723939873762,67.2303150201363,73.8398175727707,73.297904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-05-01T00:00:00Z,133.902733468834,134.387270815354,140.762393987376,139.620315020136,146.229817572771,145.687904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-06-01T00:00:00Z,210.864733468833,211.349270815354,217.724393987376,216.582315020136,223.191817572771,222.649904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-07-01T00:00:00Z,112.820733468833,113.305270815354,119.680393987376,118.538315020136,125.147817572771,124.605904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-08-01T00:00:00Z,194.100733468833,194.585270815354,200.960393987376,199.818315020136,206.427817572771,205.885904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-09-01T00:00:00Z,107.486733468834,107.971270815354,114.346393987376,113.204315020136,119.813817572771,119.271904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-10-01T00:00:00Z,279.698733468833,280.183270815354,286.558393987376,285.416315020136,292.025817572771,291.483904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-11-01T00:00:00Z,173.780733468833,174.265270815354,180.640393987376,179.498315020136,186.107817572771,185.565904696157,0,0,0,0,0,0,0,0,0,0,0,0
1995-12-01T00:00:00Z,111.550733468833,112.035270815354,118.410393987376,117.268315020136,123.877817572771,123.335904696157,0,0,0,0,0,0,0,0,0,0,0,0
1996-01-01T00:00:00Z,352.850733468833,353.335270815354,359.710393987376,358.568315020136,365.177817572771,364.635904696157,0,0,0,0,0,0,0,0,0,0,0,0
1996-02-01T00:00:00Z,142.792733468834,143.277270815354,149.652393987376,148.510315020136,155.119817572771,154.577904696157,0,0,0,0,0,0,0,0,0,0,0,0
1996-03-01T00:00:00Z,205.022733468833,205.507270815354,211.882393987376,210.740315020136,217.349817572771,216.807904696157,0,0,0,0,0,0,0,0,0,0,0,0
